TCM_symptom_id,TCM_symptom_name,old_definition,new_definition
35,闭合性新旧软组织损伤,,闭合性新旧软组织损伤，指皮下筋肉无破溃，因跌扑闪挫致血离经脉，瘀滞不散，气血不通，故见肿痛或反复不愈。
31,鼻咽部慢性炎症,,鼻咽部慢性炎症，病位在鼻，病性寒湿，临床表现为鼻塞、流清涕、遇寒加重，乃寒湿凝滞鼻窍，阳气不宣所致。
79,产后乳肿,,产后乳肿，指产后乳房肿胀疼痛，甚则焮红灼热、乳汁排出不畅之证。病位虽在乳房，然其本在于子宫，因产后胞宫湿热未尽，循冲任之脉上逆于乳，壅滞乳络所致。临床多伴恶露量多、色黄质稠、小腹坠痛、口苦溲黄等湿热下注之象。
82,产后小腹疼痛,,产后小腹疼痛因血瘀所致者，乃恶露排出不畅，瘀血阻滞胞宫，气血运行不利，故见小腹刺痛拒按。
76,产后流血,,产后恶露持续不止，量多色暗夹块，伴小腹刺痛拒按，乃瘀血阻滞胞宫，新血不得归经所致。
53,病后体弱,,病后体弱，指大病或久病之后，正气耗伤，脏腑功能减退，表现为气短乏力、神疲倦怠、脉虚无力等气虚证候。
77,产后乳房结块,,产后气机郁滞，胞宫余血未净，循经上逆，壅阻乳络，致乳房结块胀痛。
55,病后虚弱,,病后气虚，指大病或久病之后，正气耗伤，脏腑功能减退，表现为神疲乏力、气短懒言、脉弱等虚损之候。
54,病后脱发,,病后脱发，指因大病、久病或产后，气血亏耗，发失所养而致头发稀疏脱落之症。临床表现为头发干枯、细软，渐至成片或弥漫性脱落，常伴面色萎黄、头晕心悸、神疲乏力、唇甲色淡。其病机乃血虚不能上荣巅顶，发为血之余，血虚则毛窍空虚，风邪乘虚而入，或血虚生风，发根失固而脱落。
73,产后出血日久,,产后出血日久，血虚不固，冲任失养，子宫虚损，致经血淋漓难净，伴面色㿠白、气短乏力。
69,嘈杂呕吐,,湿热蕴结脾胃，气机升降失常，胃失和降，故见胃中嘈杂不适、恶心呕吐。
78,产后乳汁不通,,产后乳汁不通，系因气郁所致，病位在胞宫，涉及肝经。症见产后乳汁分泌甚少或全无，乳房胀硬疼痛，甚则牵引胸胁，情志抑郁，善太息，脘闷纳差。其病机为产后情志不遂，肝气郁结，气机壅滞，乳络受阻，乳汁运行不畅。
83,产后血虚,,产后血虚，指分娩后失血过多或生化乏源，致子宫冲任失于濡养之证。病位在子宫，病性属虚。临床表现为产后恶露量少色淡、小腹隐痛喜按、头晕心悸、面色萎黄、唇甲苍白、乳汁清稀，伴神疲乏力、舌淡苔薄、脉细弱。病机多因产程耗血，或素体血虚，复加产后亡血伤津，冲任空虚，子宫失荣所致。
85,产后瘀痛,,产后瘀痛，系指产后子宫失于濡养，血虚兼夹瘀滞所致之小腹疼痛。临床表现为产后小腹绵绵作痛，喜温喜按，或兼见恶露量少、色淡质稀，伴头晕心悸、面色萎黄。其病机为产时失血过多，冲任血虚，胞脉失养；血虚则运行无力，致瘀血内停，不通则痛。
86,产后诸虚,,产后气血大伤，冲任失养，胞宫未复，临床常见神疲乏力、恶露不绝、乳汁清稀等虚损之候。
94,陈旧性伤痛,,陈旧性伤痛指病程日久、反复发作的局部疼痛，多因外伤后瘀血未净，气血凝滞，经络痹阻所致。
95,晨起面肿,,晨起面肿，因肾主水，肾虚则气化失司，水湿上泛于面，故见晨起眼睑及面部浮肿。
96,齿鼻衄血,,脾虚失于统摄，血不循经，上溢于齿鼻而致衄血。
100,赤白下痢,,赤白下痢指大便中夹杂脓血黏液，色红白相兼，多因湿热蕴结大肠，气血瘀滞，肠道传导失司所致。
102,赤缕红斑,,赤缕红斑指皮肤上出现红色丝缕状脉络或斑片，多因热毒壅滞血分，灼伤脉络，迫血外溢所致。
104,虫咬肿痛,,虫咬肿痛指虫毒侵袭肌肤，致局部红肿、灼热、瘙痒或刺痛，甚则起疱溃烂，属外感虫毒之实证。
112,喘促痰多,,肺失宣肃，痰饮壅盛，气逆不降，故见呼吸急促、喉中痰鸣、咳吐多量痰涎。
106,抽搐神昏,,抽搐神昏，指肢体抽搐与神识昏蒙并见之危候。其病位在肝，病性属风，病势急迫。临床以突然昏仆、不省人事、四肢抽搐、项背强急、两目上视或口噤不开为特征。多因热极生风、肝阳化风或阴血亏虚，筋脉失养，风阳内动，上扰清窍所致。
111,喘促气逆,,喘促气逆，指肺失肃降、气机上逆，表现为呼吸急促、张口抬肩，甚则难以平卧，属肺气壅塞之实证。
119,疮疖痈肿,,疮疖痈肿，系热毒壅滞肌肤所致之化脓性疾患。疮者，浅表红肿热痛，形小根浅；疖者，突起根浅，脓出即愈；痈者，红肿高大，焮热疼痛，根盘紧束，易脓易溃；肿者，局部漫肿无头，皮色不变或焮赤。其病机为外感六淫化火，或过食膏粱厚味，致热毒内蕴，气血凝滞，营卫失和，腐肉成脓。
120,疮疖肿毒,,疮疖肿毒，乃热毒蕴结肌肤所致。其症见局部皮肤红肿灼痛，突起根浅，形如粟米或豆粒，或见脓头，溃后脓出则愈。病机多因外感风热火毒，或内蕴湿热，致气血凝滞，经络壅遏而成。
122,疮口久不愈合,,疮口久不愈合，指皮肤疮疡、溃疡或外伤后，创面逾月或更长时间未能收口生肌。临床表现为疮口暗淡、脓液清稀、肉芽苍白水肿、触之不痛或痛缓。其病机多因气虚不能托毒外出，亦无力生肌敛疮，致气血难充，营卫不周，疮口缠绵难愈。
123,疮面久溃不敛,,疮面久溃不敛，因气虚不能托毒生肌，致疮口迁延难愈。
121,疮疖肿痛,,疮疖肿痛指皮肤局部红肿热痛、突起根浅之化脓性疾患，多由热毒壅滞肌肤、气血凝滞所致。
124,疮面疼痛,,疮面疼痛因气虚失于温煦与固摄，致气血不荣、邪滞难去，故痛势绵绵，遇劳加重。
125,疮面鲜活,,疮面鲜活，指皮肤疮疡色红润泽、渗出黄稠，为湿热蕴结、气血未衰之象，提示邪实正未虚，病势尚在进展。
126,疮色鲜活,,疮色鲜活，指疮面色泽红润、脓汁稠厚黄亮，为湿热毒邪壅盛、气血充盈之象，多见于阳证疮疡初起或成脓期。
127,疮癣,,疮癣，乃热毒蕴结皮肤所致。其症见皮肤起红斑、丘疹、水疱，或糜烂渗液，瘙痒无度，甚则蔓延成片，结痂脱屑。病机多因风热湿毒外侵，或嗜食辛辣厚味，致脾胃湿热内生，郁于肌肤，日久化毒，气血壅滞而成。
129,疮疡不敛,,疮疡不敛，指皮肤疮疡溃后，久不收口，脓水清稀，或肉芽苍白、生长迟缓之候。多因气虚不运，气血亏耗，无力托毒生肌，致疮口难敛。其病位在皮肤，病性属虚，常伴神疲乏力、面色萎黄等症。
130,疮疡久溃不敛,,疮疡久溃不敛，指疮疡溃后，脓水清稀，日久不愈，疮口难敛，或伴肉色淡白、神疲乏力、少气懒言。其病位在皮肤，病性属气虚。多因气血亏虚，正气不足，无力托毒生肌，致疮口失于濡养，故溃口迁延难愈。
132,疮疡肿痛,,疮疡肿痛，指皮肤局部红肿高突、灼热疼痛，甚则溃破流脓之症。多因热毒壅滞肌肤，气血凝滞，肉腐成脓所致。其肿势局限，皮色焮赤，按之应指，痛如针刺，常伴发热口渴、便秘溲黄等全身热象。
131,疮疡溃烂,,疮疡溃烂，乃湿热毒邪蕴结皮肤，气血壅滞，腐肉败血，致疮口破溃、脓水浸淫不愈。
135,创伤出血,,创伤出血，系指外力损伤皮肉脉络，血溢脉外，停积于肌肤腠理之间。其症见局部皮肤破损，血色初鲜后暗，或见青紫瘀肿，疼痛固定不移，触之或有硬结。病机为金刃跌扑致脉络破损，血离经脉，滞而不行，瘀血内阻，新血难归，故见肿痛瘀斑。
133,疮痈肿痛,,疮痈肿痛，指皮肤局部红肿高突、灼热疼痛，甚则溃破流脓之证。多因外感六淫化火，或饮食不节、情志内伤，致热毒壅滞肌肤，气血凝滞，肉腐成脓。其症初起如粟，焮赤肿硬，痛如鸡啄，脓成则按之中软，溃后脓出痛减。
137,唇甲出血,,唇甲出血，因脾虚失于统摄，血不循经，溢于脉络之外，故见唇、甲下出现瘀点或出血。
142,挫伤筋骨,,挫伤筋骨是指外力损伤导致筋骨脉络受损，气血运行不畅，局部出现肿胀、疼痛、活动受限，其核心病机为血瘀阻滞。
140,猝然昏倒,,猝然昏倒，指患者突发神识昏蒙、不省人事，移时或经治可苏醒，甚则一厥不复。其病位在心脑，病性属气逆，多因肝阳暴亢、气血并走于上，或痰火内扰、蒙蔽清窍，致机窍闭塞、神机失用。临床常伴面赤气粗、喉中痰鸣、肢体强痉或抽搐等症。
143,大便不畅,,大肠气机郁滞，传导失司，故排便涩滞不爽，属气秘之象。
144,大便不利,,大肠气机壅滞，传导失司，以致排便不畅或艰涩难下，常伴腹胀、嗳气等症。
145,大便不爽,,大便不爽，指排便涩滞不畅、黏滞难尽之感，常伴大便质黏、色黄褐、臭秽，或里急后重。病位在大肠，病性属湿热。湿热蕴结大肠，气机壅滞，传导失司，故排便不爽；湿性黏滞，热性急迫，故便黏难解、肛门灼热。
146,大便不调,,大便不调指排便节律、质地或通爽度异常，病在大肠传导失司，因肝郁气滞，疏泄不及，致气机壅滞，腑气不畅。
148,大便不下,,大肠津液亏耗，肠道失于濡润，传导失司，故见大便干结难下。
149,大便臭秽,,大便臭秽，乃湿热蕴结大肠，腐熟传导失司，秽浊之气下注所致。
152,大便干,,大肠津液亏耗，肠道失于濡润，传导不利，故大便干燥坚硬，排出困难。
153,大便干结,,大肠津液亏耗，肠道失于濡润，传导不利，故大便干燥坚硬、排出困难。
151,大便次数增多,,大便次数增多，指排便频次明显超过平日，每日二三次或更多，粪质多稀溏或不成形，甚则如水样。其病位在大肠，病性属脾虚。多因脾气虚弱，运化失职，水湿内停，下注大肠，传导失常所致。常伴神疲乏力、纳少腹胀、面色萎黄等症。
154,大便干结难下,,大肠津液亏耗，肠道失于濡润，传导失职，故见大便干燥坚硬、排出困难。
159,大便黏滞不爽,,湿热蕴结大肠，气机阻滞，传导失司，故大便排出不畅、黏滞不爽，如胶着于肠腑。
