TCM_symptom_id,TCM_symptom_name,source,detail_url,old_definition,new_definition
64,不育,duguji,https://baike.duguji.cn/baike/w/%E4%B8%8D%E8%82%B2,,不育症指正常育龄夫妇婚后有正常性生活，在1年或更长时间，不避孕，也未生育，已婚夫妇发生不育者有15％，其中男性不育症的发病率占30％。生育的基本条件是具有正常的性功能和拥有能与卵子结合的正常精子。因此，无论是性器官解剖或生理缺陷，还是下丘脑-垂体-性腺轴调节障碍，都可以导致不育。
81,产后脱发,duguji,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E8%84%B1%E5%8F%91,,许多产妇会出现脱发现象。现代医学研究认为，产后脱发现象实属一种生理现象，它与产妇的生理变化、精神因素及生活方式有一定的关系。一般在产后半年左右就自行停止，所以不要过分紧张。
89,肠风下血,duguji,https://baike.duguji.cn/baike/w/%E8%82%A0%E9%A3%8E%E4%B8%8B%E8%A1%80,,肠风下血，病名。见《太平圣惠方》卷六十。即肠风，详该条。
90,肠功能紊乱,duguji,https://baike.duguji.cn/baike/w/%E8%82%A0%E5%8A%9F%E8%83%BD%E7%B4%8A%E4%B9%B1,,肠功能紊乱属中医“腹痛”、“泄泻”、“下利”等病症范畴，并与便秘密切相关。中医认为本病与饮食不节，过食生冷肥甘；或情志失调，肝气郁结；或劳倦太过，脾气受损；或年老体衰，久病脏虚，以致脾胃功能障碍等有关。临床可分为肝气乘脾、湿浊困脾、脾胃虚弱、脾肾阳虚等症型。
98,齿龈肿痛,duguji,https://baike.duguji.cn/baike/w/%E9%BD%BF%E9%BE%88%E8%82%BF%E7%97%9B,,所谓齿龈肿痛，实即牙齿根部痛，而且其周围齿肉肿胀，故称牙龈肿痛，也叫牙肉肿痛。牙龈肿痛主要是牙龈有炎症，牙龈下的炎症通过牙缝，牙结石，口腔死角进行多方位的传播，导致牙龈附着牙菌斑而导致牙龈肿痛。
103,虫毒,duguji,https://baike.duguji.cn/baike/w/%E8%99%AB%E6%AF%92,,虫毒指蛇虫等所带有的毒液或毒气，人体接触或被咬螫而致病者，在病因分类上将这类致病原因称为虫毒。常见者如蛇毒、蜂毒、蜈蚣毒、蝎毒等。
110,喘促,duguji,https://baike.duguji.cn/baike/w/%E5%96%98%E4%BF%83,,①义同喘息。可见于虚喘、实证。《景岳全书·杂证谟》列有喘促门。
92,肠胃不适,dayi,https://www.dayi.org.cn/symptom/1153428.html,,肠胃不适是一种腹部不舒服感受的统称。这通常包括胃痛、胃胀、恶心、呕吐、反酸、烧心、腹泻、便秘等症状。这些不适可能由多种原因引起，既包括饮食不当、腹部受凉、精神因素、药物因素等非疾病因素，又包括肠易激综合征、便秘、胃炎、胃食管反流等疾病因素。治疗的关键是明确病因，并针对病因进行治疗。
138,唇甲色淡,duguji,https://baike.duguji.cn/baike/w/%E5%94%87%E7%94%B2%E8%89%B2%E6%B7%A1,,唇甲色淡是指嘴唇和指甲的颜色发白，变淡。唇甲色淡是血虚的主要症状。血虚是指血液亏虚，血的营养和滋润功能减退，以致脏腑百脉、形体器官失养的病理变化。
171,大便燥结,duguji,https://baike.duguji.cn/baike/w/%E5%A4%A7%E4%BE%BF%E7%87%A5%E7%BB%93,,大便燥结，证名。大便干燥秘结。见《名医类案·秘结》。详大便秘结条。
163,大便酸臭,dayi,https://www.dayi.org.cn/symptom/1142445.html,,大便酸臭是由于食物中蛋白质没有完全被肠道吸收，而被细菌分解或者是脂肪、糖消化或吸收不良导致的大便有酸臭的气味，患者可自行发现或在粪便常规检查时发现。
185,巅顶疼痛,duguji,https://baike.duguji.cn/baike/w/%E5%B7%85%E9%A1%B6%E7%96%BC%E7%97%9B,,又称顶巅痛 证名。头顶部疼痛。又称巅顶痛。《丹溪心法·头痛》：“顶巅痛，宜藁本、防风、柴胡。”《医宗必读·头痛》：“太阳、厥阴巅顶痛，宜来复丹。”《证治汇补·头痛》：“巅顶痛属肾。”治用三才汤加牡蛎、龟板等。
203,毒蛇咬伤,duguji,https://baike.duguji.cn/baike/w/%E6%AF%92%E8%9B%87%E5%92%AC%E4%BC%A4,,毒蛇咬伤后引起发病的原因是由于毒腺中所分泌的蛇毒，主要为蛋白质，系多肽和多种酶组成。蛇毒可分为神经毒素和血液毒素。前者对中枢、周围神经、神经肌肉传导功能等产生损害作用，可引起惊厥、瘫痪和呼吸麻痹;后者对心血管和血液系统造成损害，引起心律失常、循环衰竭、溶血和出血。
204,毒蛇咬伤,duguji,https://baike.duguji.cn/baike/w/%E6%AF%92%E8%9B%87%E5%92%AC%E4%BC%A4,,毒蛇咬伤后引起发病的原因是由于毒腺中所分泌的蛇毒，主要为蛋白质，系多肽和多种酶组成。蛇毒可分为神经毒素和血液毒素。前者对中枢、周围神经、神经肌肉传导功能等产生损害作用，可引起惊厥、瘫痪和呼吸麻痹;后者对心血管和血液系统造成损害，引起心律失常、循环衰竭、溶血和出血。
213,多食,duguji,https://baike.duguji.cn/baike/w/%E5%A4%9A%E9%A3%9F,,儿童饭量无故突然增加要引起重视，专家告诫，如果你的孩子出现饭量突然增大，体重却未见增加，或者反而降低，孩子饮水的次数和量都有明显增加，抵抗力变得低下，皮肤明显粗糙或暗黑等反常症状时，应想到患糖尿病的可能，及时到医院就诊。
215,多饮,duguji,https://baike.duguji.cn/baike/w/%E5%A4%9A%E9%A5%AE,,多饮多由糖尿病引起，糖尿病 (diabetes)是由遗传因素、免疫功能紊乱、微生物感染及其毒素、自由基毒素、精神因素等等各种致病因子作用于机体导致胰岛功能减退、胰岛素抵抗(Insulin Resistance，IR)等而引发的糖、蛋白质、脂肪、水和电解质等一系列代谢紊乱综合征，临床上以高血糖为主要特点，典型病例可出现多尿、多饮、多食、消瘦等表现，即“三多一少”症状。
223,耳道流脓,duguji,https://baike.duguji.cn/baike/w/%E8%80%B3%E9%81%93%E6%B5%81%E8%84%93,,当外耳道或中耳出现炎症时，都可以出现耳道流脓的现象。中医把以耳膜穿孔、耳内流脓为主要症状的疾病，统称脓耳。
214,多涎,dayi,https://www.dayi.org.cn/symptom/1015462.html,,多涎（sialism）又称唾液分泌过多，是不正常的现象，它可因消化道疾病而产生，特别是口腔疾病。也可伴随全身疾病，可由特定的药物或毒素引起，吞咽困难也可导致唾液积聚。
229,二便失禁,dayi,https://www.dayi.org.cn/symptom/1142965.html,,二便失禁是指由于膀胱（或肛门）括约肌损伤或神经功能障碍而丧失排尿（或便）自控能力，使尿液（或大便）不能自主流出或排出的状态。临床表现为患者丧失控制大小便排出的能力，任何时间内均可排便，失禁时可以察觉或毫无知觉，可导致皮肤溃烂，反复尿路感染等。
253,泛吐清水,duguji,https://baike.duguji.cn/baike/w/%E6%B3%9B%E5%90%90%E6%B8%85%E6%B0%B4,,泛吐清水，证名。呕吐清水而无食物。见《古今医统·吞酸叙论》。
259,肺燥,duguji,https://baike.duguji.cn/baike/w/%E8%82%BA%E7%87%A5,,肺燥，指燥邪伤肺，或肺阴虚伤津化燥的肺燥证。主要症状有干咳，咯血，耳咽干燥，或咽喉焮痛，音嘶，口干而渴，舌体苔白而干等。
277,风疹瘙痒,duguji,https://baike.duguji.cn/baike/w/%E9%A3%8E%E7%96%B9%E7%98%99%E7%97%92,,病名。出《备急千金要方》卷八。指风邪侵袭，肌表出疹点，伴瘙痒之病候。属瘾疹。参见瘾疹条。
283,腹部不适,duguji,https://baike.duguji.cn/baike/w/%E8%85%B9%E9%83%A8%E4%B8%8D%E9%80%82,,==腹部不适的治疗和预防方法==
302,肝阳眩晕,duguji,https://baike.duguji.cn/baike/w/%E8%82%9D%E9%98%B3%E7%9C%A9%E6%99%95,,肝阳眩晕，病证名。因情志不舒，烦劳过度，肝阴暗耗，以致肝阳上僭引起的眩晕。证见时时头晕头痛、睡眠不宁，容易激动，脉弦。治宜平肝潜阳，用天麻钩藤饮。肝阴偏虚者，心烦少寐，舌红少苔，宜滋养肝肾之阴，用二至丸、杞菊地黄丸。见于高血压等疾病。
303,肝脏肿大,duguji,https://baike.duguji.cn/baike/w/%E8%82%9D%E8%84%8F%E8%82%BF%E5%A4%A7,,肝脏肿大十分常见。但它不是一个独立的病，而是许多疾病所共有的一种表现。各种感染性疾病，如病毒性肝炎、肝脓疡、血吸虫病、肝吸虫病、包囊虫病、疟疾、败血症、肝结核等;肿瘤，如原发性或转移性肝癌、白血病或淋巴瘤的肝脏浸润、肝血管瘤等;中毒，如酒精中毒、砷中毒或氯丙嗪中毒等;瘀胆，如胆总管结石、胰头癌、毛细胆管型肝炎;瘀血，如充血性心力衰竭、缩窄性心包炎等;其他如结缔组织病、糖尿病、脂肪肝、肝囊肿、多囊肝、肝豆状核变性等，都可导致肝肿大。
307,感冒夹惊,duguji,https://baike.duguji.cn/baike/w/%E6%84%9F%E5%86%92%E5%A4%B9%E6%83%8A,,感冒夹惊，病证名。见《医宗金鉴·幼科杂病心法要诀》。症见身热烦躁，面色青赤，神志不宁，睡卧不安。小儿神气怯弱，遭受外感后，又被外界异声异物所惊吓，或邪热刺激所致。初起，治宜清热散邪，用《医宗金鉴》疏解散；继用《小儿药证直诀》凉惊丸清热止惊。
337,咯吐不爽,duguji,https://baike.duguji.cn/baike/w/%E5%92%AF%E5%90%90%E4%B8%8D%E7%88%BD,,咯吐不爽是指痰不能完全吐出来或吐不尽不舒畅的感觉。咯：用力使东西从食道或气管里出来。
366,关节酸痛,duguji,https://baike.duguji.cn/baike/w/%E5%85%B3%E8%8A%82%E9%85%B8%E7%97%9B,,"在日常生活中,多数关节疼痛并不是由外伤所引起.关节长时间受凉和巨大的温差是导致关节疼痛的主要原因.尤其在秋天,冷暖交替之际,低温或巨大的温差会导致肌肉和血管收缩,引起关节疼痛。"
371,关节肿大,duguji,https://baike.duguji.cn/baike/w/%E5%85%B3%E8%8A%82%E8%82%BF%E5%A4%A7,,关节肿大多见于风湿性关节炎，风湿性关节炎属变态反应性疾病是风湿热的主要表现之一多以急性发热及关节疼痛起病典型表现是轻度或中度发热，游走性多关节炎，受累关节多为膝踝、肩、肘腕等大关节，常见由一个关节转移至另一个关节，病变局部呈现红肿、灼热、剧痛部分病人也有几个关节同时发病，不典型的病人仅有关节疼痛而无其他炎症表现，急性炎症一般于2-4周消退不留后遗症，但常反复发作。若风湿活动影响心脏则可发生心肌炎甚至遗留心脏瓣膜病变。
398,喉痒,duguji,https://baike.duguji.cn/baike/w/%E5%96%89%E7%97%92,,喉痒，病证名。系指因多种因素所致的咽喉作痒，或伴咽干咽痛的病证。见《太平圣惠方》卷三十五。本病之病因较为复杂。如风寒、风热之侵袭，胃家实热之熏蒸，阴虚火旺等。尽管如此，但各种病因最后都演化为火。因此，在临证时应辨明火之虚实，分别采用清胃泻火汤、知柏地黄汤等加减化裁治疗。
400,喉肿,duguji,https://baike.duguji.cn/baike/w/%E5%96%89%E8%82%BF,,喉肿，病证名。系指咽喉肿痛的病证。《焦氏喉科枕秘》卷一：“此证起于脾经，食煎炒油炽等物，及饮酒太过而行房事，以致毒气不能流行，聚结喉根，若不速治，毒闭即死。”详见咽喉肿痛条。
