TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
1,嗳气,Ai Qi,嗳气（belching）是胃中气体上出咽喉所发出的声响，其声长而缓，俗称“打饱嗝”、“饱嗝”，是各种消化道疾病常见的症状之一。尤其是反流性食管炎、慢性胃炎、消化性溃疡和功能性消化不良等疾病，多伴有嗳气症状。自胃部上升的气体或酸性液体导致嗳气（呃逆）发生，伴有典型的响声。嗳气可因不同病因在持续时间和响度上发生改变。在过去几十年中发生的一些重要事件使人们对功能性胃肠病（FGID）有了更深入的了解。罗马III标准中将功能性胃十二指肠疾病的症状分为3类：功能性消化不良、嗳气和恶心呕吐。嗳气又分为：吞气症和非特异性过度嗳气。,胃肠,胃气上逆,Ontological terms,"v1,v2",0
2,白带色乳白,Bai Dai Se Ru Bai,白带是女性正常情况下由阴道粘膜渗出物、宫颈管及子宫内膜腺体分泌物混合而成，并与雌激素的作用有关，会随着月经周期的不同发生变化，从阴道分泌而出。在正常的情况下，白带应该是透明发亮、白色稀糊状或蛋清样，带有粘稠性，量少，同时没有任何腥臭味，对女性的健康无不良影响，称为生理性白带。与生理性白带相比较，无论是从颜色、性质、气味等方面来说，病理性白带的性状都有很大的不同。病理性白带可分为非炎症性白带、炎症性白带、异物刺激性白带、其他阴道排除物。,子宫,带脉失约,Synonymous terms,"v1,v2",0
3,白带淸稀,Bai Dai Qing Xi,指阴道分泌物的减少,子宫,肾阳不足,,v1,1
4,白带增多,Bai Dai Zeng Duo,指阴道分泌物的增加,子宫,带脉失约,Synonymous terms,"v1,v2",0
5,白发,Bai Fa,白发指头发全部或部分变白白发分有老年白发和少白发,头,血虚,Ontological terms,"v1,v2",0
6,白睛红赤,Bai Jing Hong Chi,眼白红赤,目,猝感疫疠之气，疫热伤络，或肺胃积热，肺金凌木，侵犯肝经,Synonymous terms,"v1,v2",0
7,白细胞减少,Bai Xi Bao Jian Shao,指周围白细胞计数持续下降所引起的一组症状。典型表现为头晕、乏力，肢体酸白细胞减少症白细胞减少症软，食欲减退，精神萎靡、低热，属祖国医学“虚劳”范畴。中医治疗白细胞减少症采用益气养血，补肾益精，健脾养胃诸法。,,脾虚,Synonymous terms,"v1,v2",0
8,白浊,Bai Zhuo,又称尿精，系指在排尿后或排尿时从尿道口滴出白色浊物，可伴小便涩痛的一种病证,膀胱,湿热,Ontological terms,"v1,v2",0
9,斑秃,Ban Tu,本病是一种非瘢痕性脱发，常发生于身体有毛发的部位，局部皮肤正常，无自觉症状。,皮肤,风,Ontological terms,"v1,v2",0
10,斑疹,Ban Zhen,指皮肤局限性或弥漫性皮色改变，一般不隆起亦不凹陷即为斑疹。是皮肤病症状中最常见的原发损害之一。一般比较小，小于1-2cm，大于2cm者称为斑片。斑疹可以分为炎症性和非炎症性两种。有的斑疹上还会有鳞屑，称为鳞屑性斑疹，如花斑糠疹的皮疹。,皮肤,风热,Ontological terms,"v1,v2",0
11,斑疹紫黑,Ban Zhen Zi Hei,指热病过程中发于肌表的斑和疹两种证候。见《伤寒九十论·发斑证》。斑和疹虽系两证，然亦有斑疹齐见者。斑疹发出后，以神清者为佳。,皮肤,热证,Ontological terms,"v1,v2",0
12,半身不遂,Ban Shen Bu Sui,偏瘫（hemiplegia）又叫半身不遂，是指同一侧上下肢、面肌和舌肌下部的运动障碍，是急性脑血管病的常见症状。轻度偏瘫病人虽然尚能活动，但走起路来，往往上肢屈曲，下肢伸直，瘫痪的下肢走一步划半个圈，这种特殊的走路姿势，叫做偏瘫步态。严重者常卧床不起，丧失生活能力。按照偏瘫的程度，可分为轻瘫、不完全性瘫痪和全瘫。轻瘫：表现为肌力减弱，肌力在4～5级，一般不影响日常生活，不完全性瘫较轻瘫重，范围较大，肌力2～4级，全瘫：肌力0～1级，瘫痪肢体完全不能活动。应该及时就诊，以免延误治疗的最佳时期。,躯体,经脉闭阻,Ontological terms,"v1,v2",0
13,半身麻木,Ban Shen Ma Mu,健康人肢体各种感觉的传递取决于大脑中枢至肢体神经通路的畅通无阻。如果在这一神经通路上的某一局部出现障碍，就会出现肢体麻木等症状。例如脊椎骨质增生性麻木：这种麻木在老年人中相当多见，其主要原因是椎骨骨质增生压迫了椎管内神经，有些病人还可伴有肢体疼痛等感觉。骨髓病性麻木：某些骨髓病的早期，可出现至下而上的肢体麻木，随病情加重而向上发展，进而出现肢体活动不灵等症状。,躯体,经脉闭阻,Synonymous terms,"v1,v2",0
14,胞衣不下,Bao Yi Bu Xia,胞衣不下是一个病症，即产妇娩出胎儿后，经过半小时，胞衣（胎盘）仍不能自动排出的病症。多由分娩后元气大虚而无力排出胞衣，或产时感受外寒而气血凝滞所致，大多伴有出血症状。,子宫,气虚,Ontological terms,"v1,v2",0
15,饱胀,Bao Zhang,人吃饱了饭或吃多了东西，肚皮太胀了，胀得难受,肠胃,胃气上逆,Synonymous terms,"v1,v2",0
16,暴发火眼,Bao Fa Huo Yan,传染性结膜炎，又叫红眼病，是一种急性传染性眼部疾患。根据不同的致病原因，可分为细菌性结膜炎和病毒性结膜炎两类，其临床症状相似，但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生，以春夏季节多见。红眼病是通过接触传染的眼病，如接触患者用过的毛巾、洗脸用具、水龙头、门把、游泳池的水、公用的玩具等。因此，本病常在幼儿园、学校、医院、工厂等集体单位广泛传播，造成暴发流行。红眼病多是双眼先后发病，患病早期，病人感到双眼发烫、烧灼、畏光、眼红，自觉眼睛磨痛，像进入沙子般地滚痛难忍，紧接着眼皮红肿、眼眵多、怕光、流泪，早晨起床时，眼皮常被分泌物粘住，不易睁开。有的病人结膜上出现小出血点或出血斑，分泌物呈粘液脓性，有时在睑结膜表面形成一层灰白色假膜，角膜边缘可有灰白色浸润点，严重的可伴有头痛、发热、疲劳、耳前淋巴结肿大等全身症状。,眼,火热,Ontological terms,"v1,v2",0
17,暴厥,Bao Jue,古病名-因气逆于上，而致猝然昏厥，不省人事，脉来洪盛有力或脉来躁急如喘的严重病证,脑,气闭,Ontological terms,"v1,v2",0
18,暴注下泻,Bao Zhu Xia Xie,严重腹泻,肠胃,湿热,Synonymous terms,"v1,v2",0
19,背冷,Bei Leng,"指背部自觉冷凉感而言。本症 《伤寒论》 称 ""背恶寒"" 。《金匮要略》 名 ""背寒冷"" 。《河间六书·强痛恶 寒》 篇称 ""背怯qie冷"" ",背,阳虚,Synonymous terms,"v1,v2",0
20,背酸痛,Bei Suan Tong,背部酸痛,背,肾虚,Ontological terms,"v1,v2",0
21,背疼痛,Bei Teng Tong,背部疼痛,背,经络不通,Synonymous terms,"v1,v2",0
22,背痛,Bei Tong,以腰部、背部、肩部、腿部的放射性疼痛、酸痛、挤压痛、咳嗽痛、牵拉痛等为主，轻则影响正常生活，重则损害健康，严重者可丧失劳动能力。,背,经络不通,Ontological terms,"v1,v2",0
23,崩漏,Beng Lou,月经的周期、经期、经量发生严重失常的病证，其发病急骤，暴下如注，大量出血者为“崩”；病势缓，出血量少，淋漓不绝者为“漏”。可发生在月经初潮后至绝经的任何年龄，足以影响生育，危害健康。属妇科常见病，也是疑难急重病证。相当于西医病名无排卵性功能性子宫出血。,膀胱,带脉失约,Ontological terms,"v1,v2",0
24,鼻干,Bi Gan,由于风燥异气内犯肺鼻，或胃腑湿热上蒸鼻窍所致的，以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,鼻,肺热,Synonymous terms,"v1,v2",0
25,鼻干燥,Bi Gan Zao,由于风燥异气内犯肺鼻，或胃腑湿热上蒸鼻窍所致的，以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,鼻,肺热,Synonymous terms,"v1,v2",0
26,鼻流清涕,Bi Liu Qing Ti,清水样鼻涕,鼻,风寒犯肺,Synonymous terms,"v1,v2",0
27,鼻流浊涕,Bi Liu Zhuo Ti,浑浊粘液鼻涕,鼻,风热犯肺,Synonymous terms,"v1,v2",0
28,鼻鸣,Bi Ming,嘘气或鼓鼻作响,鼻,肺气壅滞,Synonymous terms,"v1,v2",0
29,鼻衄,Bi Nv,俗称鼻出血。可由鼻部疾病引起，也可由全身疾病所致。鼻出血多为单侧，少数情况下可出现双侧鼻出血；出血量多少不一，轻者仅为涕中带血，重者可引起失血性休克，反复鼻出血可导致贫血。,鼻,肺胃蕴热,Ontological terms,"v1,v2",0
30,鼻塞,Bi Sai,鼻塞是常见的症状之一，最常见的原因包括鼻炎、鼻窦炎、鼻息肉、鼻中隔偏曲、鼻腔鼻窦肿瘤、腺样体肥大等。理论上来说，鼻塞都可以通过不同的治疗方法进行解决。,鼻,肺气不利,Ontological terms,"v1,v2",0
31,鼻咽部慢性炎症,Bi Yan Bu Man Xing Yan Zheng,鼻咽部慢性炎症，病位在鼻，病性寒湿，临床表现为鼻塞、流清涕、遇寒加重，乃寒湿凝滞鼻窍，阳气不宣所致。,鼻,寒湿,Synonymous terms,"v1,v2",0
32,鼻痒,Bi Yang,鼻部瘙痒,鼻,肺气虚,Synonymous terms,"v1,v2",0
33,鼻渊,Bi Yuan,中医病名。是指鼻流浊涕，如泉下渗，量多不止为主要特征的鼻病。常伴头痛、鼻塞、嗅觉减退，鼻窦区疼痛，久则虚眩不已。是鼻科常见病、多发病之一。亦有“脑漏”、“脑砂”、“脑崩”、“脑渊”之称。多因外感风热邪毒，或风寒侵袭，久而化热，邪热循经上蒸，犯及鼻窍；或胆经炎热，随经上犯，蒸灼鼻窍；或脾胃湿热，循胃经上扰等引起。,鼻,热证,Ontological terms,"v1,v2",0
34,鼻燥,Bi Zao,鼻部干燥,鼻,肺热,Synonymous terms,"v1,v2",0
35,闭合性新旧软组织损伤,Bi He Xing Xin Jiu Ruan Zu Zhi Sun Shang,闭合性新旧软组织损伤，指皮下筋肉无破溃，因跌扑闪挫致血离经脉，瘀滞不散，气血不通，故见肿痛或反复不愈。,,瘀证,Synonymous terms,"v1,v2",0
36,闭经,Bi Jing,多种疾病导致的女性体内病理生理变化的外在表现，是一种临床症状而并非某一疾病。按生殖轴病变和功能失调的部位分为下丘脑性闭经、垂体性闭经、卵巢性闭经、子宫性闭经以及下生殖道发育异常性闭经,子宫,任脉不通,Ontological terms,"v1,v2",0
37,痹病,Bi Bing,痹病泛指机体正气不足，卫外不固，风、寒、湿、热等邪气乘虚而入，致使气血凝滞，经络痹阻，引起相关系统疾病的总称。《内经》所言五脏痹、六腑痹、奇恒之腑痹、五体肢节痹，反映了痹病的基本内容，可见痹病有广义和狭义的不同，又分外痹与内痹。痹者闭也。广义的痹病，泛指机体正气不足，卫外不固，邪气乘虚而入，脏腑经络气血为之痹阻而引起的疾病，包括《内经》所含肺痹、心痹等脏腑痹及肉痹、筋痹等络痹。狭义的痹病，即指其中的肢体经络痹，以肌肉、筋骨、关节发生疼痛、麻木、重着、屈伸不利，甚至关节肿大灼热为主要临床表现的病证。,四肢,经脉不通,Ontological terms,"v1,v2",0
38,痹痛,Bi Tong,痹痛即现代所说的富贵病，古称膏粱病。表现为痛风，治疗方法有滋补肾气、清利湿热、溶石化结。,四肢,经脉不通,Ontological terms,"v1,v2",0
39,臂疼痛,Bi Teng Tong,手臂疼痛,四肢,经脉不通,Ontological terms,"v1,v2",0
40,臂痛,Bi Tong,手臂疼痛,四肢,经脉不通,Ontological terms,"v1,v2",0
41,便闭,Bian Bi,即便秘的意思,大肠,大肠津亏,Ontological terms,"v1,v2",0
42,便干,Bian Gan,指大便干燥。多由胃肠燥热，津液耗伤或年老体弱，劳倦内伤，血虚津亏不能下润大便而致。,大肠,大肠津亏,Synonymous terms,"v1,v2",0
43,便黄而黏,Bian Huang Er Nian,大便黄而黏腻,大肠,湿热,Ontological terms,"v1,v2",0
44,便结,Bian Jie,大便粘结,大肠,津液匮乏,Ontological terms,"v1,v2",0
45,便秘,Bian Mi,是以大便排出困难，排便周期延长，或周期不长，但粪质干结，排出艰难，或粪质不硬，虽频有便意，但排便不畅为主要表现的病证。,大肠,阳明燥结,Ontological terms,"v1,v2",0
46,便溏,Bian Tang,大便不成型,大肠,脾气虚,Ontological terms,"v1,v2",0
47,便溏日久,Bian Tang Ri Jiu,长期大便不成型,大肠,脾虚,Synonymous terms,"v1,v2",0
48,便下脓血,Bian Xia Nong Xie,大便伴有脓血,大肠,湿热,Synonymous terms,"v1,v2",0
49,便泻,Bian Xie,腹泻,大肠,脾虚,Ontological terms,"v1,v2",0
50,便血,Bian Xie,血液从肛门排出，粪便颜色呈鲜红、暗红或柏油样（黑便），均称为便血,大肠,热毒,Ontological terms,"v1,v2",0
51,表虚自汗,Biao Xu Zi Han,自发出汗,肺,营卫不和,Ontological terms,"v1,v2",0
52,憋气,Bie Qi,委屈或烦恼不能发泄；心情不舒畅。有时也指有意识地不呼吸，或深或浅的吸气后，紧闭声门，作尽力地呼气动作。,肺,气郁,Ontological terms,"v1,v2",0
53,病后体弱,Bing Hou Ti Ruo,病后体弱，指大病或久病之后，正气耗伤，脏腑功能减退，表现为气短乏力、神疲倦怠、脉虚无力等气虚证候。,,气虚,Synonymous terms,"v1,v2",0
54,病后脱发,Bing Hou Tuo Fa,病后脱发，指因大病、久病或产后，气血亏耗，发失所养而致头发稀疏脱落之症。临床表现为头发干枯、细软，渐至成片或弥漫性脱落，常伴面色萎黄、头晕心悸、神疲乏力、唇甲色淡。其病机乃血虚不能上荣巅顶，发为血之余，血虚则毛窍空虚，风邪乘虚而入，或血虚生风，发根失固而脱落。,,血虚,Ontological terms,"v1,v2",0
55,病后虚弱,Bing Hou Xu Ruo,病后气虚，指大病或久病之后，正气耗伤，脏腑功能减退，表现为神疲乏力、气短懒言、脉弱等虚损之候。,,气虚,Synonymous terms,"v1,v2",0
56,不饥,Bu Ji,感觉不到饥饿,脾胃,胃阴虚,Ontological terms,"v1,v2",0
57,不寐,Bu Mei,失眠,心,心肾不交,Ontological terms,"v1,v2",0
58,不能久视,Bu Neng Jiu Shi,无法长时间用眼,目,肝血虚,Synonymous terms,"v1,v2",0
59,不省人事,Bu Sheng Ren Shi,失去意识,脑,气血上冲,Synonymous terms,"v1,v2",0
60,不食,Bu Shi,无法进食,肠胃,胃虚,Ontological terms,"v1,v2",0
61,不思乳食,Bu Si Ru Shi,对乳制品无饮食欲望,肠胃,脾胃虚弱,Synonymous terms,"v1,v2",0
62,不思饮食,Bu Si Yin Shi,没有食欲,肠胃,脾胃虚弱,Ontological terms,"v1,v2",0
63,不喜热饮,Bu Xi Re Yin,不喜欢热食,肠胃,胃热,Synonymous terms,"v1,v2",0
